X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
401600,137413,20176141,2020/12/12 05:36:12+00,2020/12/12 04:15:18+00,2020/12/12 04:20:20+00,1100 - 1118 BLOCK OF 16TH STREET NE,ROBBERY,GUN,MIDNIGHT,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 78,,401600,137413,38.9045720721,-76.9815537091,958736332,
400594,139371,20176268,2020/12/12 14:14:14+00,2020/10/21 19:20:44+00,2020/10/21 19:27:51+00,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,THEFT/OTHER,OTHERS,DAY,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,,400594,139371,38.9222116506,-76.9931501206,958736333,
396307,137533,20176388,2020/12/12 19:59:05+00,2020/12/12 18:00:21+00,2020/12/12 18:30:22+00,1800 - 1899 BLOCK OF M STREET NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396307,137533,38.9056467723,-77.042576988,958736334,
394597,144917,20176435,2020/12/12 21:45:31+00,2020/12/04 01:00:48+00,2020/12/04 13:00:01+00,6100  - 6299 BLOCK OF 31ST PLACE NW,THEFT/OTHER,OTHERS,EVENING,4,3/4G,2,201,Cluster 10,001500 3,001500,Precinct 51,,394597,144917,38.9721551453,-77.0623498982,958736335,
402796,133587,20176772,2020/12/13 16:27:12+00,2020/12/12 20:45:37+00,2020/12/12 23:45:36+00,1600 - 1699 BLOCK OF 28TH STREET SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,607,Cluster 34,007604 2,007604,Precinct 111,,402796,133587,38.8701030272,-76.9677806755,958736336,
397083,140096,20176811,2020/12/13 18:13:33+00,2020/12/13 17:16:24+00,2020/12/13 17:25:18+00,1400 - 1451 BLOCK OF IRVING STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,3,302,Cluster 2,002802 3,002802,Precinct 36,,397083,140096,38.928738039,-77.0336412921,958736337,
397172,138305,20176886,2020/12/13 22:03:22+00,2020/12/12 00:12:45+00,2020/12/12 01:12:06+00,1400 - 1425 BLOCK OF R STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2F,3,301,Cluster 7,005202 3,005202,Precinct 16,,397172,138305,38.9126044218,-77.0326074916,958736338,
401728,138813,20176999,2020/12/14 03:21:10+00,2020/12/14 02:28:39+00,2020/12/14 03:21:21+00,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,,401728,138813,38.9171835065,-76.9800744828,958736339,
398276,145267,20177026,2020/12/14 06:35:54+00,2020/12/14 04:46:04+00,2020/12/14 05:20:24+00,7000  - 7099 BLOCK OF 5TH STREET NW,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,4,4B,4,401,Cluster 17,001702 1,001702,Precinct 63,,398276,145267,38.9753229554,-77.0198956127,958736340,
397571,142426,20177530,2020/12/15 13:18:15+00,2020/12/13 19:40:25+00,2020/12/13 19:45:27+00,1200  - 1242 BLOCK OF EMERSON STREET NW,THEFT/OTHER,OTHERS,DAY,4,4E,4,404,Cluster 18,002002 1,002002,Precinct 54,,397571,142426,38.9497288452,-77.0280215153,958736341,
397746,137450,20178124,2020/12/16 18:58:23+00,2020/12/16 00:30:34+00,2020/12/16 13:30:43+00,1100 - 1199 BLOCK OF 10TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2G,3,307,Cluster 8,004902 3,004902,Precinct 129,,397746,137450,38.9049039473,-77.0259863335,958736342,
397965,137857,20178235,2020/12/16 19:28:20+00,2020/12/16 09:42:39+00,2020/12/16 10:19:29+00,800 - 899 BLOCK OF O STREET NW,THEFT/OTHER,OTHERS,DAY,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,,397965,137857,38.9085708789,-77.0234626917,958736343,
399521,128329,20085481,2020/06/09 16:32:20+00,2020/06/08 16:32:49+00,2020/06/09 16:32:51+00,4700 - 4799 BLOCK OF 1ST STREET SW,THEFT F/AUTO,OTHERS,DAY,8,8D,7,708,Cluster 39,010900 2,010900,Precinct 126,,399521,128329,38.8227409605,-77.0055160303,958736808,
405676,135066,20085543,2020/06/09 18:35:36+00,2020/06/09 17:10:54+00,2020/06/09 17:20:53+00,4650 - 4799 BLOCK OF BENNING ROAD SE,ROBBERY,OTHERS,DAY,7,7E,6,604,Cluster 33,009907 2,009907,Precinct 103,,405676,135066,38.8834125677,-76.9345811837,958736809,
393749,143129,20086141,2020/06/10 21:30:27+00,2020/06/10 19:30:51+00,2020/06/10 19:40:59+00,5011 - 5149 BLOCK OF CHEVY CHASE PARKWAY NW,THEFT F/AUTO,OTHERS,EVENING,3,3F,2,201,Cluster 10,001100 3,001100,Precinct 32,,393749,143129,38.9560427736,-77.0721194005,958736810,
393722,141833,20086210,2020/06/11 00:34:28+00,2020/06/10 19:40:58+00,2020/06/10 19:55:09+00,4216 - 4299 BLOCK OF 37TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,3,3E,2,202,Cluster 11,001200 4,001200,Precinct 33,,393722,141833,38.9443678616,-77.0724190447,958736811,
405327,135921,20086272,2020/06/11 04:55:59+00,2020/06/11 01:38:33+00,2020/06/11 01:42:52+00,4400 - 4499 BLOCK OF BENNING ROAD NE,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,7,7F,6,608,Cluster 33,007803 3,007803,Precinct 98,,405327,135921,38.8911169135,-76.9385969585,958736812,
404028,132914,20086362,2020/06/11 07:48:18+00,2020/06/11 02:30:36+00,2020/06/11 03:00:37+00,2000 - 2065 BLOCK OF 37TH STREET SE,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,7,7B,6,606,Cluster 35,007603 1,007603,Precinct 110,,404028,132914,38.864035588,-76.9535878366,958736813,
397081,136991,20086423,2020/06/11 16:27:09+00,2020/06/01 03:30:36+00,2020/06/01 03:40:21+00,800 - 899 BLOCK OF 15TH STREET NW,BURGLARY,OTHERS,DAY,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 129,DOWNTOWN,397081,136991,38.9007671563,-77.0336511576,958736814,
394064,142757,20086779,2020/06/12 02:59:38+00,2020/06/12 01:40:48+00,2020/06/12 01:41:06+00,4800 - 4899 BLOCK OF CONNECTICUT AVENUE NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,3,3F,2,203,Cluster 12,001301 3,001301,Precinct 138,,394064,142757,38.9526938846,-77.068481946,958736815,
396986,140220,20086954,2020/06/12 15:23:54+00,2020/05/12 21:00:57+00,2020/06/08 22:00:11+00,3200 - 3299 BLOCK OF HIATT PLACE NW,THEFT F/AUTO,OTHERS,DAY,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,,396986,140220,38.929854742,-77.034760522,958736816,
392524,140566,20087220,2020/06/13 08:12:16+00,2020/06/01 19:15:21+00,2020/06/04 13:50:42+00,3200 - 3299 BLOCK OF 44TH STREET NW,THEFT/OTHER,OTHERS,MIDNIGHT,3,3D,2,205,Cluster 13,000804 3,000804,Precinct 10,,392524,140566,38.9329449801,-77.0862246043,958736817,
